div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2013,2014-05-11,Arsenal,38,0,3.0,2.0,Norwich,0.0,0.0,23,1
E0,2014,2014-08-16,Arsenal,1,1,3.0,2.0,Crystal Palace,0.0,1.0,1,12
E0,2014,2014-08-23,Arsenal,2,0,1.0,2.0,Everton,1.0,2.0,13,1
E0,2014,2014-08-31,Arsenal,3,0,1.0,1.0,Leicester,1.0,1.0,17,1
E0,2014,2014-09-13,Arsenal,4,1,1.0,2.0,Man City,1.0,2.0,1,19
E0,2014,2014-09-20,Arsenal,5,0,3.0,3.0,Aston Villa,0.0,0.0,2,1
E0,2014,2014-09-27,Arsenal,6,1,1.0,1.0,Tottenham,1.0,1.0,1,31
E0,2014,2014-10-05,Arsenal,7,0,0.0,0.0,Chelsea,3.0,2.0,11,1
E0,2014,2014-10-18,Arsenal,8,1,1.0,2.0,Hull,1.0,2.0,1,16
E0,2014,2014-10-25,Arsenal,9,0,3.0,2.0,Sunderland,0.0,0.0,29,1
E0,2014,2014-11-01,Arsenal,10,1,3.0,3.0,Burnley,0.0,0.0,1,9
E0,2014,2014-11-09,Arsenal,11,0,0.0,1.0,Swansea,3.0,2.0,30,1
E0,2014,2014-11-22,Arsenal,12,1,0.0,1.0,Man United,3.0,2.0,1,20
E0,2014,2014-11-29,Arsenal,13,0,3.0,1.0,West Brom,0.0,0.0,33,1
E0,2014,2014-12-03,Arsenal,14,1,3.0,1.0,Southampton,0.0,0.0,1,27
E0,2014,2014-12-06,Arsenal,15,0,0.0,2.0,Stoke,3.0,3.0,28,1
E0,2014,2014-12-13,Arsenal,16,1,3.0,4.0,Newcastle,0.0,1.0,1,22
E0,2014,2014-12-21,Arsenal,17,0,1.0,2.0,Liverpool,1.0,2.0,18,1
E0,2014,2014-12-26,Arsenal,18,1,3.0,2.0,QPR,0.0,1.0,1,25
E0,2014,2014-12-28,Arsenal,19,0,3.0,2.0,West Ham,0.0,1.0,34,1
E0,2014,2015-01-01,Arsenal,20,0,0.0,0.0,Southampton,3.0,2.0,27,1
E0,2014,2015-01-11,Arsenal,21,1,3.0,3.0,Stoke,0.0,0.0,1,28
E0,2014,2015-01-18,Arsenal,22,0,3.0,2.0,Man City,0.0,0.0,19,1
E0,2014,2015-02-01,Arsenal,23,1,3.0,5.0,Aston Villa,0.0,0.0,1,2
E0,2014,2015-02-07,Arsenal,24,0,0.0,1.0,Tottenham,3.0,2.0,31,1
E0,2014,2015-02-10,Arsenal,25,1,3.0,2.0,Leicester,0.0,1.0,1,17
E0,2014,2015-02-21,Arsenal,26,0,3.0,2.0,Crystal Palace,0.0,1.0,12,1
E0,2014,2015-03-01,Arsenal,27,1,3.0,2.0,Everton,0.0,0.0,1,13
E0,2014,2015-03-04,Arsenal,28,0,3.0,2.0,QPR,0.0,1.0,25,1
E0,2014,2015-03-14,Arsenal,29,1,3.0,3.0,West Ham,0.0,0.0,1,34
E0,2014,2015-03-21,Arsenal,30,0,3.0,2.0,Newcastle,0.0,1.0,22,1
E0,2014,2015-04-04,Arsenal,31,1,3.0,4.0,Liverpool,0.0,1.0,1,18
E0,2014,2015-04-11,Arsenal,32,0,3.0,1.0,Burnley,0.0,0.0,9,1
E0,2014,2015-04-26,Arsenal,33,1,1.0,0.0,Chelsea,1.0,0.0,1,11
E0,2014,2015-05-04,Arsenal,34,0,3.0,3.0,Hull,0.0,1.0,16,1
E0,2014,2015-05-11,Arsenal,35,1,0.0,0.0,Swansea,3.0,1.0,1,30
E0,2014,2015-05-17,Arsenal,36,0,1.0,1.0,Man United,1.0,1.0,20,1
E0,2014,2015-05-20,Arsenal,37,1,1.0,0.0,Sunderland,1.0,0.0,1,29
E0,2014,2015-05-24,Arsenal,38,1,3.0,4.0,West Brom,0.0,1.0,1,33
E0,2015,2015-08-09,Arsenal,1,1,0.0,0.0,West Ham,3.0,2.0,1,34
E0,2015,2015-08-16,Arsenal,2,0,3.0,2.0,Crystal Palace,0.0,1.0,12,1
E0,2015,2015-08-24,Arsenal,3,1,1.0,0.0,Liverpool,1.0,0.0,1,18
E0,2015,2015-08-29,Arsenal,4,0,3.0,1.0,Newcastle,0.0,0.0,22,1
E0,2015,2015-09-12,Arsenal,5,1,3.0,2.0,Stoke,0.0,0.0,1,28
E0,2015,2015-09-19,Arsenal,6,0,0.0,0.0,Chelsea,3.0,2.0,11,1
E0,2015,2015-09-26,Arsenal,7,0,3.0,5.0,Leicester,0.0,2.0,17,1
E0,2015,2015-10-04,Arsenal,8,1,3.0,3.0,Man United,0.0,0.0,1,20
E0,2015,2015-10-17,Arsenal,9,0,3.0,3.0,Watford,0.0,0.0,32,1
E0,2015,2015-10-24,Arsenal,10,1,3.0,2.0,Everton,0.0,1.0,1,13
E0,2015,2015-10-31,Arsenal,11,0,3.0,3.0,Swansea,0.0,0.0,30,1
E0,2015,2015-11-08,Arsenal,12,1,1.0,1.0,Tottenham,1.0,1.0,1,31
E0,2015,2015-11-21,Arsenal,13,0,0.0,1.0,West Brom,3.0,2.0,33,1
E0,2015,2015-11-29,Arsenal,14,0,1.0,1.0,Norwich,1.0,1.0,23,1
E0,2015,2015-12-05,Arsenal,15,1,3.0,3.0,Sunderland,0.0,1.0,1,29
E0,2015,2015-12-13,Arsenal,16,0,3.0,2.0,Aston Villa,0.0,0.0,2,1
E0,2015,2015-12-21,Arsenal,17,1,3.0,2.0,Man City,0.0,1.0,1,19
E0,2015,2015-12-26,Arsenal,18,0,0.0,0.0,Southampton,3.0,4.0,27,1
E0,2015,2015-12-28,Arsenal,19,1,3.0,2.0,Bournemouth,0.0,0.0,1,7
