div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,hometeam_uid,awayteam_uid
E0,2012,17dec2012,Arsenal,17,0,3,5,Reading,0,2,26,1
E0,2012,22dec2012,Arsenal,18,0,3,1,Wigan,0,0,35,1
E0,2012,29dec2012,Arsenal,19,1,3,7,Newcastle,0,3,1,22
E0,2012,01jan2013,Arsenal,20,0,1,1,Southampton,1,1,27,1
E0,2012,13jan2013,Arsenal,21,1,0,0,Man City,3,2,1,19
E0,2012,20jan2013,Arsenal,22,0,0,1,Chelsea,3,2,11,1
E0,2012,23jan2013,Arsenal,23,1,3,5,West Ham,0,1,1,34
E0,2012,30jan2013,Arsenal,24,1,1,2,Liverpool,1,2,1,18
E0,2012,02feb2013,Arsenal,25,1,3,1,Stoke,0,0,1,28
E0,2012,09feb2013,Arsenal,26,0,3,1,Sunderland,0,0,29,1
E0,2012,23feb2013,Arsenal,27,1,3,2,Aston Villa,0,1,1,2
E0,2012,03mar2013,Arsenal,28,0,0,1,Tottenham,3,2,31,1
E0,2012,16mar2013,Arsenal,29,0,3,2,Swansea,0,0,30,1
E0,2012,30mar2013,Arsenal,30,1,3,4,Reading,0,1,1,26
E0,2012,06apr2013,Arsenal,31,0,3,2,West Brom,0,1,33,1
E0,2012,13apr2013,Arsenal,32,1,3,3,Norwich,0,1,1,23
E0,2012,16apr2013,Arsenal,33,1,1,0,Everton,1,0,1,13
E0,2012,20apr2013,Arsenal,34,0,3,1,Fulham,0,0,14,1
E0,2012,28apr2013,Arsenal,35,1,1,1,Man United,1,1,1,20
E0,2012,04may2013,Arsenal,36,0,3,1,QPR,0,0,25,1
E0,2012,14may2013,Arsenal,37,1,3,4,Wigan,0,1,1,35
E0,2012,19may2013,Arsenal,38,0,3,1,Newcastle,0,0,22,1
E0,2013,17aug2013,Arsenal,1,1,0,1,Aston Villa,3,3,1,2
E0,2013,24aug2013,Arsenal,2,0,3,3,Fulham,0,1,14,1
E0,2013,01sep2013,Arsenal,3,1,3,1,Tottenham,0,0,1,31
E0,2013,14sep2013,Arsenal,4,0,3,3,Sunderland,0,1,29,1
E0,2013,22sep2013,Arsenal,5,1,3,3,Stoke,0,1,1,28
E0,2013,28sep2013,Arsenal,6,0,3,2,Swansea,0,1,30,1
E0,2013,06oct2013,Arsenal,7,0,1,1,West Brom,1,1,33,1
E0,2013,19oct2013,Arsenal,8,1,3,4,Norwich,0,1,1,23
E0,2013,26oct2013,Arsenal,9,0,3,2,Crystal Palace,0,0,12,1
E0,2013,02nov2013,Arsenal,10,1,3,2,Liverpool,0,0,1,18
E0,2013,10nov2013,Arsenal,11,0,0,0,Man United,3,1,20,1
E0,2013,23nov2013,Arsenal,12,1,3,2,Southampton,0,0,1,27
E0,2013,30nov2013,Arsenal,13,0,3,3,Cardiff,0,0,10,1
E0,2013,04dec2013,Arsenal,14,1,3,2,Hull,0,0,1,16
E0,2013,08dec2013,Arsenal,15,1,1,1,Everton,1,1,1,13
E0,2013,14dec2013,Arsenal,16,0,0,3,Man City,3,6,19,1
E0,2013,23dec2013,Arsenal,17,1,1,0,Chelsea,1,0,1,11
E0,2013,26dec2013,Arsenal,18,0,3,3,West Ham,0,1,34,1
E0,2013,29dec2013,Arsenal,19,0,3,1,Newcastle,0,0,22,1
E0,2013,01jan2014,Arsenal,20,1,3,2,Cardiff,0,0,1,10
E0,2013,13jan2014,Arsenal,21,0,3,2,Aston Villa,0,1,2,1
E0,2013,18jan2014,Arsenal,22,1,3,2,Fulham,0,0,1,14
E0,2013,28jan2014,Arsenal,23,0,1,2,Southampton,1,2,27,1
E0,2013,02feb2014,Arsenal,24,1,3,2,Crystal Palace,0,0,1,12
E0,2013,08feb2014,Arsenal,25,0,0,1,Liverpool,3,5,18,1
E0,2013,12feb2014,Arsenal,26,1,1,0,Man United,1,0,1,20
E0,2013,22feb2014,Arsenal,27,1,3,4,Sunderland,0,1,1,29
E0,2013,01mar2014,Arsenal,28,0,0,0,Stoke,3,1,28,1
E0,2013,16mar2014,Arsenal,29,0,3,1,Tottenham,0,0,31,1
E0,2013,22mar2014,Arsenal,30,0,0,0,Chelsea,3,6,11,1
E0,2013,25mar2014,Arsenal,31,1,1,2,Swansea,1,2,1,30
E0,2013,29mar2014,Arsenal,32,1,1,1,Man City,1,1,1,19
E0,2013,06apr2014,Arsenal,33,0,0,0,Everton,3,3,13,1
E0,2013,15apr2014,Arsenal,34,1,3,3,West Ham,0,1,1,34
E0,2013,20apr2014,Arsenal,35,0,3,3,Hull,0,0,16,1
E0,2013,28apr2014,Arsenal,36,1,3,3,Newcastle,0,0,1,22
E0,2013,04may2014,Arsenal,37,1,3,1,West Brom,0,0,1,33
E0,2013,11may2014,Arsenal,38,0,3,2,Norwich,0,0,23,1
E0,2014,16aug2014,Arsenal,1,1,3,2,Crystal Palace,0,1,1,12
E0,2014,23aug2014,Arsenal,2,0,1,2,Everton,1,2,13,1
